שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס
בסמת טבעון,944,1,770,261,7,254,5,0,59,44,1,0,0,0,0,2,0,0,0,0,11,0,0,3,25,0,0,0,5,0,0,0,0,71,0,1,0,1,0,0,0,0,0,0,0,0,0,2,24
בסמת טבעון,944,2,760,183,6,177,2,1,27,57,0,0,0,0,0,1,0,0,0,0,10,0,0,3,16,0,0,0,2,0,0,0,0,44,1,0,0,0,1,0,0,0,0,0,0,0,0,1,11
בסמת טבעון,944,3,733,221,5,216,3,0,76,20,0,0,0,0,0,0,0,0,1,0,7,1,0,3,28,2,0,0,1,0,0,0,0,63,0,0,1,0,0,1,0,0,0,0,0,1,0,4,4
בסמת טבעון,944,4,740,277,4,273,5,0,50,62,0,0,0,0,0,1,0,0,0,0,3,0,0,6,13,0,0,0,1,0,0,0,1,94,0,0,0,0,1,2,0,0,0,0,0,0,1,4,29
בסמת טבעון,944,5,736,253,6,247,3,0,68,77,0,0,0,0,0,2,0,0,0,0,9,0,0,4,18,0,0,0,0,0,0,0,0,57,0,0,0,0,0,1,0,0,1,1,0,0,0,3,3
בסמת טבעון,944,6,762,235,2,233,4,0,38,44,0,0,0,0,0,0,0,0,0,0,5,0,0,8,26,0,0,0,3,1,0,0,0,71,1,0,0,0,0,0,0,0,1,1,0,3,2,6,19
בסמת טבעון,944,7,722,234,5,229,8,0,90,32,0,0,0,0,0,0,0,1,0,0,2,0,0,6,18,1,0,0,0,0,0,0,1,53,1,1,0,0,0,1,0,0,1,2,0,1,1,5,4
בענה,483,1,692,361,0,361,5,0,181,136,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10
בענה,483,2,702,468,9,459,0,0,128,241,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76,6
בענה,483,3,697,650,0,650,25,0,225,294,0,0,1,0,0,0,0,0,0,0,52,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14
בענה,483,4,680,577,0,577,35,0,296,192,0,0,0,0,0,0,0,0,0,0,14,0,0,1,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
בענה,483,5,680,531,0,531,0,0,247,187,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,61
בענה,483,6,702,424,3,421,2,0,225,154,1,1,0,0,0,0,0,0,0,0,1,0,1,1,3,2,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
בענה,483,7,687,355,7,348,2,0,200,94,0,0,0,0,0,0,0,0,0,0,14,0,0,1,2,0,0,0,4,1,0,0,0,7,0,0,0,0,1,5,0,0,0,1,0,0,0,9,7
בענה,483,8,667,600,3,597,1,0,335,142,0,0,0,0,0,2,0,0,0,0,30,0,0,3,10,0,0,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,10,53
בצרה,389,1,336,253,0,253,21,1,0,0,9,0,0,0,6,2,1,0,0,0,2,0,0,29,14,4,0,0,0,3,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
בצרה,389,2,440,329,1,328,33,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,28,22,6,0,0,0,9,0,0,0,223,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
בצת,589,1,289,215,0,215,18,1,0,1,9,0,0,0,0,3,0,0,0,0,3,0,0,39,7,5,1,0,0,9,0,0,0,115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
בקוע,864,1,514,417,0,417,15,2,0,0,11,0,0,0,2,22,0,0,0,0,28,0,1,187,10,26,0,0,0,13,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
בקעות,3612,1,136,113,0,113,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,40,0,8,0,0,0,18,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
בר גיורא,823,1,415,321,0,321,11,3,0,1,17,0,0,0,1,15,0,0,0,0,12,0,0,159,14,9,1,0,0,8,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
בר יוחאי,1191,1,597,412,0,412,0,24,0,0,25,0,0,0,1,136,0,0,0,0,13,0,0,137,0,28,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
ברוכין,3744,1,427,385,1,384,0,1,0,0,7,0,0,0,0,251,0,0,0,0,1,0,0,32,0,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ברור חיל,428,1,745,540,0,540,99,1,0,4,12,0,0,0,0,1,0,0,0,2,14,0,6,54,51,9,0,0,0,6,0,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ברוש,2060,1,316,246,1,245,17,0,0,0,8,0,0,0,0,4,0,0,0,0,19,0,3,130,2,8,0,0,1,5,0,0,0,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13
ברכה,3710,1,586,531,0,531,0,0,0,0,26,0,0,0,0,180,0,0,0,0,0,0,0,269,2,46,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ברכה,3710,2,515,445,1,444,1,0,0,0,10,0,0,0,0,102,0,0,0,0,1,0,0,294,2,23,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ברכיה,746,1,336,275,0,275,2,63,0,0,4,0,0,0,0,23,0,0,0,0,12,0,0,127,0,16,0,0,0,7,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13
ברכיה,746,2,425,370,1,369,0,87,0,0,17,0,0,0,0,30,0,0,0,0,4,0,0,190,1,9,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ברעם,667,1,494,341,0,341,61,0,0,3,1,0,0,0,0,1,0,0,0,0,2,0,0,8,115,1,0,0,0,5,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ברק,141,1,301,216,0,216,18,0,0,0,2,0,0,0,0,2,0,0,0,0,8,0,0,83,1,5,0,0,0,12,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
ברקאי,617,1,511,347,2,345,58,0,0,2,2,0,0,0,0,1,0,0,0,0,2,0,0,7,124,5,0,0,0,4,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ברקן,3654,1,582,443,0,443,12,0,0,0,30,0,0,0,3,13,0,0,0,0,30,0,12,206,5,40,0,0,0,23,0,0,0,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ברקן,3654,2,753,552,4,548,13,0,0,1,44,0,0,0,0,15,0,0,0,0,22,0,24,273,3,50,0,0,0,18,3,0,0,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
ברקת,2038,1,677,560,1,559,1,18,0,0,23,0,0,0,3,145,0,0,0,0,11,0,0,271,0,12,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
ברקת,2038,2,441,389,0,389,0,7,0,0,17,0,0,0,0,90,0,0,0,0,11,0,0,208,2,18,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
בת הדר,1323,1,500,385,1,384,25,4,1,0,10,0,0,0,1,7,0,0,0,0,19,0,6,163,3,10,0,0,0,10,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
בת חן,1361,1,434,316,2,314,34,2,0,0,2,0,0,0,0,1,0,0,0,0,7,0,2,29,13,2,0,0,0,5,0,0,0,212,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2
בת חפר,1319,1,725,537,2,535,37,0,0,0,15,0,0,0,0,13,0,0,0,0,10,0,1,65,19,18,0,0,0,21,0,0,0,335,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
בת חפר,1319,2,550,449,1,448,34,1,0,0,10,0,0,0,0,1,0,0,0,0,18,0,8,84,14,5,0,0,0,25,1,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
בת חפר,1319,3,718,563,3,560,44,2,0,0,17,1,0,0,0,5,0,0,0,0,23,0,4,86,26,6,0,0,0,22,2,0,0,313,0,0,0,0,0,2,0,0,0,3,0,0,0,0,4
בת חפר,1319,4,723,544,1,543,52,0,0,0,11,0,0,0,0,4,0,0,0,0,6,0,2,78,33,11,0,0,0,12,0,0,0,331,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
בת חפר,1319,5,657,499,5,494,40,1,0,0,7,0,0,0,0,9,0,0,0,0,16,0,1,73,23,8,0,0,0,17,1,0,0,295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
בת חפר,1319,6,597,431,3,428,26,1,0,0,12,0,0,0,0,5,0,0,0,0,22,0,2,78,21,13,0,0,0,18,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
בת ים,6200,1,585,364,10,354,2,3,0,0,14,0,0,0,0,7,0,0,0,0,23,0,13,184,2,8,0,0,1,5,0,0,0,30,0,0,0,0,0,2,0,0,0,2,0,0,0,0,58
בת ים,6200,2,543,279,3,276,5,6,0,0,6,0,0,0,0,12,0,0,0,0,14,0,17,130,3,6,0,0,0,5,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
בת ים,6200,3,538,273,5,268,2,4,0,0,11,0,0,0,0,7,0,0,0,0,16,0,21,110,6,1,0,0,0,2,1,0,0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30
בת ים,6200,4,570,290,6,284,6,1,0,1,10,0,0,0,0,4,0,0,0,0,16,0,51,99,2,5,0,0,1,9,7,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
בת ים,6200,5,701,400,5,395,4,7,0,0,9,0,0,0,0,3,0,0,0,0,24,0,108,150,2,2,0,0,0,3,0,0,0,50,0,1,0,0,0,0,0,0,0,1,1,1,1,1,27
בת ים,6200,6,557,325,0,325,5,6,0,0,19,0,0,0,0,12,0,0,0,0,15,0,9,124,2,11,0,0,1,9,0,0,0,46,2,0,0,0,0,0,0,0,0,2,0,0,0,0,62
בת ים,6200,7,685,408,1,407,10,10,0,0,6,0,0,0,2,25,0,0,0,0,12,0,2,164,5,6,0,0,0,6,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
בת ים,6200,8,656,280,8,272,6,5,0,0,11,0,0,0,0,17,0,0,0,0,8,0,28,107,5,6,0,0,1,3,1,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30
בת ים,6200,9,656,367,5,362,5,5,0,0,9,0,0,0,2,18,0,0,0,0,19,0,8,154,1,9,0,0,0,5,0,0,0,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,88
בת ים,6200,10,699,312,3,309,10,6,0,0,5,0,0,0,0,2,0,0,0,0,17,0,51,97,2,5,0,0,0,6,1,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
בת ים,6200,11,491,214,0,214,6,2,0,0,4,0,0,0,2,1,0,0,0,0,10,0,44,61,3,2,0,0,0,5,2,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
בת ים,6200,12,486,195,3,192,5,1,0,1,3,0,0,0,0,4,0,0,0,0,6,0,24,72,3,3,1,0,0,3,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
בת ים,6200,13,548,337,2,335,9,5,0,0,12,0,0,0,2,8,0,0,0,0,20,2,6,139,0,6,0,0,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,92
בת ים,6200,14,570,313,1,312,11,7,0,1,6,0,0,0,1,6,0,0,0,0,16,0,37,113,3,6,0,0,0,9,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
בת ים,6200,15,594,263,3,260,3,1,0,3,6,0,0,0,0,11,0,0,0,0,12,0,46,105,3,1,1,0,0,2,0,0,0,48,0,0,0,0,0,1,1,0,1,0,0,0,0,0,15
בת ים,6200,16,508,210,2,208,7,2,0,1,6,0,0,0,0,2,0,0,0,0,11,0,52,70,3,2,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8
בת ים,6200,17,581,272,4,268,7,0,0,0,5,0,0,0,0,3,1,0,0,0,21,0,50,88,4,6,0,0,0,7,1,0,0,66,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7
בת ים,6200,18,619,247,2,245,2,0,3,0,9,0,0,0,0,1,0,0,0,0,7,0,26,117,1,2,0,0,0,5,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
בת ים,6200,19,507,251,6,245,7,4,3,6,8,0,0,0,1,8,0,0,0,0,8,0,36,79,6,5,0,0,0,6,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
בת ים,6200,20,490,181,0,181,10,0,0,1,3,0,0,0,0,7,0,0,0,0,7,0,35,71,0,2,0,0,0,6,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
בת ים,6200,21,651,271,3,268,9,0,0,0,10,0,0,0,0,4,0,0,0,0,10,0,40,112,0,3,0,0,0,8,1,0,0,51,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18
בת ים,6200,22,672,259,2,257,8,1,0,0,7,0,0,0,0,0,0,0,0,0,13,0,59,102,3,1,0,0,0,2,3,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17
בת ים,6200,23,647,338,2,336,9,5,1,0,9,0,0,0,0,0,1,0,0,0,22,0,51,131,10,4,0,0,0,7,2,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
בת ים,6200,26,466,181,2,179,7,1,0,1,2,0,0,0,0,4,0,0,0,0,10,0,26,52,3,3,0,0,0,2,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
בת ים,6200,27,583,213,1,212,7,0,0,0,6,0,0,0,0,3,0,0,0,0,8,0,32,67,8,8,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
בת ים,6200,28.1,670,330,2,328,11,3,1,0,11,0,0,0,0,7,2,0,0,0,11,0,37,146,1,3,0,0,0,7,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
בת ים,6200,28.2,670,288,1,287,9,2,0,0,4,0,1,0,0,0,0,0,0,0,6,0,74,86,8,7,0,0,0,3,3,0,0,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
בת ים,6200,28.3,670,324,5,319,9,1,0,1,8,0,0,0,0,3,0,0,0,1,20,0,48,129,4,3,1,0,0,6,2,0,0,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20
בת ים,6200,28.4,670,284,9,275,1,0,0,0,4,1,0,0,0,2,0,0,0,0,26,0,51,104,6,2,0,0,0,4,0,0,0,63,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9
בת ים,6200,28.5,670,300,4,296,6,3,0,0,11,0,0,0,1,2,0,0,0,0,14,0,50,100,3,5,0,0,0,9,0,0,0,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
בת ים,6200,29.1,649,288,0,288,9,0,0,0,9,0,0,0,0,8,0,0,0,0,9,0,31,125,3,5,0,0,1,7,1,0,0,59,0,0,0,0,0,1,0,0,0,2,0,0,1,0,17
בת ים,6200,29.2,649,311,2,309,9,2,0,0,9,0,0,0,0,10,0,0,0,0,25,0,52,100,4,6,0,0,0,3,0,0,0,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15
בת ים,6200,29.3,649,240,3,237,5,0,0,0,3,0,0,0,0,8,0,0,0,0,19,0,38,79,2,3,0,0,0,1,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
בת ים,6200,29.4,649,339,2,337,17,4,0,0,13,0,0,0,2,5,0,0,0,0,15,0,45,129,4,11,1,0,0,4,0,0,0,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
בת ים,6200,29.5,649,301,5,296,14,3,0,1,5,1,0,0,0,10,0,0,0,0,14,0,48,110,4,4,1,0,0,7,3,0,0,50,0,0,1,0,0,1,0,0,0,1,0,0,0,0,18
בת ים,6200,29.6,649,256,0,256,8,2,0,1,8,1,0,0,0,4,1,0,0,0,9,0,36,98,0,5,1,0,0,4,2,0,0,59,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14
בת ים,6200,29.7,649,272,3,269,5,0,0,0,7,0,0,0,2,3,0,0,0,0,16,0,58,76,1,3,0,0,0,9,1,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
בת ים,6200,29.8,649,284,2,282,10,1,0,1,6,0,0,0,0,7,1,0,0,0,13,0,50,109,2,9,0,0,0,3,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
בת ים,6200,32,723,324,0,324,5,1,0,0,8,0,0,0,0,3,0,0,0,0,13,1,60,140,2,13,0,0,0,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
בת ים,6200,34,677,275,2,273,10,0,0,0,3,0,0,0,0,4,0,0,0,1,13,0,40,114,5,6,0,0,0,2,1,0,0,58,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14
בת ים,6200,35,746,388,1,387,16,1,0,0,13,0,0,0,0,7,0,0,0,0,14,0,38,152,0,6,0,0,0,11,0,0,0,107,0,0,0,0,0,0,0,0,0,1,0,0,2,1,18
בת ים,6200,36,661,333,3,330,14,1,0,1,4,0,0,0,0,10,0,0,0,0,18,0,31,118,3,16,0,0,0,8,4,0,0,78,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22
בת ים,6200,37,730,317,5,312,3,1,0,0,8,1,0,0,0,13,0,0,0,0,7,0,45,153,2,7,0,0,0,4,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
בת ים,6200,38,608,317,0,317,10,2,0,0,6,1,0,0,0,4,0,0,0,0,15,0,29,128,2,10,0,0,0,4,6,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
בת ים,6200,39,597,298,0,298,7,3,0,0,5,0,1,0,1,7,0,0,0,0,24,0,45,101,5,5,0,0,0,6,0,0,0,73,0,0,0,0,0,3,0,0,0,0,0,0,0,1,11
בת ים,6200,40,615,302,2,300,10,3,0,0,5,0,0,0,2,4,2,0,0,0,11,0,28,140,4,2,0,0,1,1,0,0,0,78,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7
בת ים,6200,41,636,309,3,306,9,4,0,0,10,0,0,0,0,7,0,0,0,0,18,0,49,112,1,5,0,0,0,3,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
בת ים,6200,42,572,318,3,315,9,3,0,0,7,0,0,0,0,6,1,0,0,0,9,1,33,120,4,4,0,0,0,10,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
בת ים,6200,45,610,328,4,324,6,1,0,0,11,0,0,0,0,5,0,0,0,0,9,1,41,147,2,5,0,0,0,4,0,0,0,70,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20
בת ים,6200,46,635,395,3,392,12,8,0,0,8,0,0,0,0,12,0,0,0,1,29,0,55,148,2,10,0,0,0,9,2,0,0,70,0,0,0,0,0,1,0,0,1,1,0,0,0,0,23
בת ים,6200,47,620,328,2,326,6,8,1,0,7,1,0,0,0,2,0,0,0,0,17,0,63,114,0,10,0,0,1,13,0,0,0,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12
בת ים,6200,48,532,255,3,252,2,1,0,0,7,0,0,0,0,7,0,0,0,0,15,0,27,107,2,8,0,0,0,4,2,0,0,51,0,0,0,0,0,1,0,0,0,1,0,1,0,1,15
בת ים,6200,49,618,315,3,312,7,4,0,0,9,1,0,0,0,2,0,0,0,0,18,0,36,132,2,4,0,0,0,5,0,0,0,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
בת ים,6200,50,634,324,1,323,10,2,0,1,4,0,0,0,0,5,1,0,0,0,11,0,53,122,0,6,0,0,0,8,4,0,0,72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23
בת ים,6200,51,487,253,6,247,5,0,0,1,4,0,0,0,0,10,0,0,0,0,13,0,41,91,3,0,0,0,0,5,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
בת ים,6200,52,666,333,6,327,12,1,0,0,4,0,0,0,1,4,0,0,0,0,22,0,31,157,1,3,0,0,0,4,2,0,0,71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
בת ים,6200,53,715,411,3,408,16,0,0,0,11,0,0,0,0,3,0,0,0,0,21,0,52,158,6,10,0,0,0,12,1,0,0,97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20
בת ים,6200,54,736,400,4,396,13,9,0,0,18,0,0,0,1,6,2,0,0,0,29,0,33,159,8,2,0,0,1,8,2,0,0,94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
בת ים,6200,55,616,365,1,364,4,2,0,0,11,1,0,0,1,6,0,1,0,0,19,0,36,157,4,3,0,0,0,9,3,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
בת ים,6200,56,539,306,1,305,12,4,0,0,17,1,0,0,2,1,0,0,0,0,16,0,54,95,6,1,0,0,0,7,1,0,0,67,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19
בת ים,6200,57,503,283,3,280,9,2,0,0,3,0,0,0,1,2,0,0,0,0,22,0,33,108,2,5,0,0,0,6,3,0,0,72,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10
בת ים,6200,58,616,348,3,345,10,10,0,1,10,0,0,0,1,9,0,0,0,0,16,0,43,137,3,8,0,0,0,0,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
בת ים,6200,59,562,259,2,257,3,3,0,0,7,1,0,0,1,3,0,0,0,0,19,0,36,108,5,2,0,0,1,5,3,0,0,45,0,0,0,0,0,3,0,0,0,1,0,0,0,0,11
בת ים,6200,60,508,249,1,248,7,4,1,0,4,0,0,0,0,2,0,0,0,0,22,0,28,78,4,3,0,0,0,10,2,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
בת ים,6200,62,534,273,2,271,5,1,0,0,10,0,0,0,0,3,0,0,0,0,10,0,50,99,3,4,0,0,0,4,1,0,0,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16
בת ים,6200,63,486,267,2,265,8,2,0,0,7,0,0,0,0,6,0,0,0,0,20,0,27,99,3,5,0,0,0,4,0,0,0,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
בת ים,6200,65,759,358,2,356,10,9,0,0,3,1,0,0,1,6,0,0,0,0,22,0,44,166,3,10,0,0,0,9,0,0,0,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15
בת ים,6200,66,651,365,3,362,22,4,0,0,12,0,0,0,0,8,0,0,0,1,20,1,34,137,7,5,0,0,0,7,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
בת ים,6200,67,504,299,7,292,10,6,0,0,7,0,0,0,0,12,0,0,0,0,25,0,32,91,6,5,0,0,1,6,0,0,1,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14
בת ים,6200,72,632,357,1,356,12,3,0,0,12,0,0,0,0,5,0,0,0,0,19,0,49,143,5,7,0,0,0,7,1,0,0,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18
בת ים,6200,73,569,242,1,241,18,4,0,1,7,0,0,0,0,3,0,0,0,0,16,0,28,73,4,4,0,0,0,3,4,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
בת ים,6200,74,528,271,3,268,14,0,0,0,6,0,0,0,0,4,0,0,0,1,15,0,34,89,2,5,0,0,0,3,3,0,0,80,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10
בת ים,6200,75,512,222,5,217,6,0,0,0,3,0,0,0,1,3,0,0,0,0,10,0,22,88,5,0,0,0,0,2,0,0,0,70,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5
בת ים,6200,76,597,229,0,229,6,4,0,0,6,0,0,0,0,3,0,0,0,0,9,0,40,67,5,8,0,0,0,5,2,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
בת ים,6200,77,470,216,7,209,11,3,0,0,7,0,0,0,0,0,0,0,0,0,16,0,18,84,0,5,0,0,0,5,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
בת ים,6200,79,630,319,3,316,15,5,0,0,8,0,0,0,0,4,0,0,0,0,13,0,38,107,3,6,0,0,0,7,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
בת ים,6200,80,568,319,4,315,13,2,0,1,9,0,0,0,1,1,0,0,0,0,23,0,52,104,3,4,0,0,0,6,2,0,0,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
בת ים,6200,81,635,277,3,274,8,1,0,0,10,0,0,0,0,5,0,0,0,0,17,0,51,93,1,4,0,0,0,5,1,0,0,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24
בת ים,6200,82.1,591,294,3,291,6,0,0,0,8,0,0,0,0,8,0,0,0,0,12,0,37,130,2,3,0,0,0,1,5,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
בת ים,6200,82.2,591,293,7,286,12,4,0,0,13,1,0,0,0,1,0,0,0,0,15,0,37,104,7,6,0,0,0,9,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
בת ים,6200,82.3,591,272,1,271,8,0,0,0,9,0,0,0,0,7,0,0,0,0,29,0,32,98,1,0,0,0,0,5,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
בת ים,6200,82.4,588,272,2,270,6,0,0,0,8,0,0,0,0,5,0,0,0,1,14,0,66,99,4,6,0,0,0,5,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
בת ים,6200,83,612,257,3,254,10,1,0,0,11,1,0,0,0,8,0,0,0,0,15,0,41,92,0,4,0,0,0,8,1,0,0,46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14
בת ים,6200,86,528,264,2,262,4,2,0,0,11,0,0,0,0,2,0,0,0,0,13,0,48,98,2,0,0,0,0,6,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
בת ים,6200,87,602,300,1,299,9,0,1,2,11,0,0,0,0,6,1,0,0,0,10,0,58,104,1,1,0,0,0,3,3,0,0,62,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25
בת ים,6200,88,642,281,3,278,3,0,0,0,12,0,0,0,0,5,0,0,0,0,16,0,46,118,1,6,0,0,1,1,1,0,0,42,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24
בת ים,6200,90,616,274,2,272,9,7,0,0,5,0,0,0,0,4,0,0,0,0,16,0,45,88,1,1,0,0,0,0,1,0,0,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18
בת ים,6200,91,547,249,1,248,16,1,0,0,14,0,0,0,0,5,0,0,0,0,11,0,44,69,0,5,0,0,0,11,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
