שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
שייח' דנון,658,10,0,324,18,306,59,0,40,0,47,0,0,0,0,0,0,0,7,0,0,1,6,0,143,0,0,0,0,0,0,1,1,1,0,0,0
שייח' דנון,658,20,0,405,7,398,154,0,28,0,20,0,0,0,0,0,0,0,13,0,0,0,9,1,172,0,0,0,0,0,1,0,0,0,0,0,0
שער אפרים,661,10,0,516,5,511,94,1,0,0,0,1,0,51,1,30,0,0,141,1,18,61,17,0,0,4,0,0,0,0,0,0,1,5,0,9,76
חוסן,662,10,0,348,1,347,63,0,0,0,0,0,0,21,0,21,0,2,106,0,20,53,6,0,0,1,0,0,0,0,0,0,0,3,0,6,45
טירת יהודה,663,10,0,382,1,381,12,4,0,0,0,0,0,14,0,159,0,4,30,0,14,74,1,0,0,5,1,0,0,0,0,0,0,4,0,2,57
כרם בן זמרה,664,10,0,214,3,211,36,2,0,0,0,0,0,3,0,47,0,2,38,0,11,35,0,0,0,2,0,0,0,0,0,0,0,5,0,3,27
תקומה,665,10,0,285,3,282,38,4,0,0,0,0,0,7,0,142,0,1,31,0,7,15,4,0,0,4,0,0,0,0,0,0,0,2,0,7,20
עומר,666,10,0,486,6,480,130,0,0,0,1,0,0,36,6,19,1,2,172,0,22,31,39,1,0,7,0,0,0,0,0,1,0,4,0,5,3
עומר,666,20,0,508,2,506,146,1,0,0,0,0,0,32,4,17,0,2,183,0,20,30,45,0,0,9,0,0,0,0,0,0,0,4,0,8,5
עומר,666,30,0,450,1,449,122,1,1,0,3,0,0,25,0,9,0,2,162,0,30,37,30,1,0,8,0,0,0,0,0,1,0,5,0,7,5
עומר,666,40,0,457,3,454,167,2,0,0,0,0,0,42,1,9,0,0,120,0,23,32,37,0,0,5,0,0,0,0,1,0,0,3,0,6,6
עומר,666,50,0,429,3,426,135,0,0,0,0,0,1,25,2,12,0,0,129,0,15,28,54,0,0,12,0,0,0,0,0,0,0,6,0,6,1
עומר,666,60,0,409,4,405,109,3,1,0,0,0,0,24,3,20,0,3,148,1,20,24,31,0,0,6,0,0,0,0,0,0,0,3,0,7,2
עומר,666,70,0,494,12,482,129,0,0,0,0,0,2,42,2,20,0,2,177,1,14,51,24,0,0,0,0,1,1,0,0,1,1,7,0,1,6
עומר,666,80,0,349,3,346,103,0,0,0,6,0,0,24,0,7,0,1,115,0,21,21,25,0,0,8,0,0,0,0,0,0,0,5,0,8,2
עומר,666,90,0,352,1,351,79,0,4,0,0,0,0,24,4,9,1,0,146,0,18,40,11,0,0,5,0,0,0,0,0,0,0,1,0,2,7
ברעם,667,10,0,292,2,290,103,0,0,0,0,0,0,1,1,2,0,1,31,0,5,5,122,0,0,3,0,0,0,0,0,0,0,5,0,10,1
מפלסים,668,10,0,300,2,298,182,1,0,0,0,1,1,4,0,0,1,0,57,1,3,9,18,1,0,1,0,0,0,0,0,0,0,7,0,11,0
משמר איילון,670,10,0,222,1,221,49,0,0,0,1,1,0,25,0,13,0,2,61,0,11,29,10,0,0,3,0,0,0,0,0,0,0,7,0,4,5
בית נקופה,672,10,0,222,2,220,59,0,0,0,0,0,0,15,2,5,1,7,49,0,12,30,13,0,0,1,0,1,0,0,1,0,0,6,0,5,13
כפר טרומן,673,10,0,350,3,347,69,8,0,0,0,0,0,50,1,16,1,2,102,0,12,34,13,1,1,2,0,0,1,0,0,0,0,9,0,20,5
לימן,674,10,0,278,3,275,59,0,0,1,0,0,0,24,0,5,0,3,121,0,15,22,4,0,0,4,0,0,0,0,0,0,0,6,0,7,4
הבונים,675,10,0,159,0,159,66,0,0,0,0,0,0,14,0,2,1,0,48,0,1,2,12,0,0,1,0,0,0,0,0,0,0,4,0,8,0
עין השלושה,676,10,0,181,1,180,108,0,0,0,0,0,0,2,0,1,0,0,52,0,4,2,7,0,0,0,0,0,1,0,0,0,1,0,0,1,1
הסוללים,677,10,0,385,4,381,135,0,0,0,2,0,0,18,0,9,1,1,121,0,12,14,38,0,0,5,0,0,0,0,0,0,0,13,0,12,0
מעגן,678,10,0,169,0,169,76,1,0,0,0,0,0,7,0,1,0,0,41,0,9,6,7,0,0,2,0,0,0,0,0,0,0,9,0,9,1
אביאל,679,10,0,250,1,249,21,1,0,0,2,1,0,39,1,11,0,1,85,0,11,32,12,1,0,4,0,0,0,0,0,1,0,8,0,12,6
אומץ,680,10,0,221,2,219,75,0,0,0,0,0,0,12,0,4,0,0,85,0,5,9,12,1,0,3,0,0,1,0,0,1,0,1,0,6,4
גבעת שמואל,681,10,0,414,2,412,89,3,1,0,0,0,0,39,8,28,1,3,133,0,12,37,35,0,0,3,0,0,0,0,0,0,0,5,0,12,3
גבעת שמואל,681,20,0,512,5,507,58,7,0,0,0,0,0,43,1,128,1,6,105,2,9,73,20,1,0,9,0,0,1,0,0,0,0,4,0,10,29
גבעת שמואל,681,30,0,538,7,531,57,3,0,0,0,0,0,52,0,151,1,8,93,0,18,71,10,0,0,2,1,0,1,0,0,1,0,4,0,10,48
גבעת שמואל,681,40,0,512,4,508,66,4,0,0,1,0,0,64,1,86,0,9,129,0,15,49,33,1,0,1,0,0,0,0,0,1,0,6,0,9,33
גבעת שמואל,681,50,0,300,4,296,18,8,0,0,0,0,1,33,7,52,0,6,61,0,19,46,6,1,0,2,1,1,0,0,0,0,0,5,0,1,28
גבעת שמואל,681,60,0,319,4,315,42,5,0,0,1,7,0,24,0,22,1,4,47,0,34,50,2,0,0,1,0,0,0,0,1,0,1,7,0,5,61
גבעת שמואל,681,80,0,396,3,393,94,1,0,0,2,0,0,28,7,35,1,1,108,0,11,36,34,0,0,5,0,0,0,0,0,0,0,10,0,14,6
גבעת שמואל,681,90,0,447,1,446,74,0,0,0,1,0,0,45,0,55,1,0,150,0,27,30,36,0,0,4,0,0,1,0,0,0,1,3,0,10,8
גבעת שמואל,681,100,0,341,3,338,33,5,0,0,0,0,0,25,2,52,0,2,96,1,16,51,12,0,0,8,0,0,0,0,0,0,0,3,0,6,26
גבעת שמואל,681,110,0,512,4,508,59,9,0,0,1,0,0,37,1,147,0,8,108,0,30,56,16,0,1,6,0,0,0,0,0,0,0,5,0,5,19
גבעת שמואל,681,120,0,442,1,441,105,3,0,0,0,0,0,36,7,35,0,0,155,1,9,25,36,0,0,6,0,0,0,0,0,0,0,11,0,10,2
גבעת שמואל,681,130,0,549,3,546,60,6,0,0,0,2,0,55,0,188,3,4,107,0,34,37,15,1,0,3,0,0,0,0,0,0,0,2,0,7,22
גבעת שמואל,681,140,0,535,11,524,17,7,0,0,0,0,0,29,3,146,0,4,94,3,95,56,7,3,0,1,2,0,0,1,0,0,0,7,0,5,44
גבעת שמואל,681,200,0,520,4,516,57,6,0,0,0,0,0,43,0,161,0,4,121,0,17,50,15,0,0,2,0,0,0,0,0,0,0,5,0,6,29
גבעת שמואל,681,210,0,658,1,657,59,5,0,0,1,0,1,42,1,204,0,4,187,0,24,66,22,0,0,7,0,0,0,0,0,0,0,5,0,12,17
גבעת שמואל,681,220,0,720,2,718,15,17,0,0,0,0,0,27,0,468,0,7,62,0,9,77,4,0,0,0,0,0,0,0,0,0,0,0,0,3,29
גבעת שמואל,681,250,0,518,1,517,40,9,0,0,0,1,0,34,0,181,0,6,101,0,14,60,11,2,0,13,0,0,0,0,0,0,0,4,0,11,30
גבעת שמואל,681,9500,0,617,6,611,73,5,0,0,0,0,0,53,3,125,2,0,209,0,17,71,20,0,0,5,0,1,0,0,0,0,0,4,0,17,6
גבעת שמואל,681,9510,0,699,4,695,67,9,0,0,0,0,1,43,4,266,0,7,145,0,20,76,12,1,0,6,0,0,0,0,0,0,0,3,0,13,22
אליקים,682,10,0,333,2,331,5,216,0,0,0,0,0,10,0,27,0,2,17,1,3,22,1,0,0,0,0,0,0,0,0,0,0,2,0,4,21
גבע כרמל,683,10,0,406,5,401,177,0,1,0,0,0,0,22,1,3,0,0,128,0,5,21,13,0,0,2,0,0,0,0,0,0,0,4,0,6,18
היוגב,684,10,0,357,5,352,62,0,0,0,0,0,0,8,0,7,1,0,96,0,17,13,10,0,0,117,0,0,0,0,0,1,0,17,0,2,1
בניה,685,10,0,421,4,417,94,2,0,0,3,0,0,43,1,7,1,0,167,0,10,30,23,0,0,12,0,0,1,0,0,0,1,9,0,8,5
נווה ימין,686,10,0,516,15,501,82,0,0,0,0,0,0,38,0,15,0,2,137,1,39,123,6,0,0,1,0,0,0,0,0,0,0,6,0,5,46
עין איילה,687,10,0,347,2,345,99,0,0,0,0,0,0,21,3,3,0,2,136,0,13,22,22,0,0,4,0,0,0,0,0,0,0,4,0,13,3
עלמה,688,10,0,278,2,276,12,4,0,0,0,0,0,0,0,49,0,3,8,0,35,76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88
מגדים,689,10,0,389,4,385,80,2,1,0,1,0,1,28,1,17,1,0,132,0,5,43,7,0,0,4,0,0,0,0,0,0,0,7,0,13,42
כפר אחים,690,10,0,250,1,249,71,3,0,0,0,0,0,10,0,35,0,0,75,0,11,26,3,0,0,0,0,0,0,0,0,0,0,5,0,3,7
שפיר,692,10,0,239,3,236,18,2,0,0,0,0,0,8,0,74,0,6,42,0,30,26,3,0,0,3,0,0,0,0,0,0,0,1,0,5,18
"נתיב הל""ה",693,10,0,232,2,230,108,1,0,0,0,0,0,12,1,4,0,0,61,0,8,4,19,0,0,0,0,0,0,0,0,0,0,5,0,6,1
מעגן מיכאל,694,10,0,446,2,444,244,0,0,0,2,0,0,10,0,2,0,0,79,0,5,2,64,0,0,3,0,0,0,0,0,1,0,20,0,12,0
מעגן מיכאל,694,20,0,403,4,399,223,0,0,3,0,0,0,5,1,3,1,1,73,0,5,1,50,0,0,7,0,0,1,0,0,1,0,15,0,9,0
מגן,695,10,0,284,0,284,71,0,1,0,4,0,0,1,0,0,0,0,38,0,5,2,156,0,0,0,0,0,0,0,0,0,0,5,0,0,1
"כפר חב""ד",696,10,0,395,1,394,2,40,0,0,0,0,0,0,0,156,0,111,1,0,13,13,1,0,0,0,0,0,0,0,0,0,0,2,0,1,54
"כפר חב""ד",696,20,0,476,0,476,0,50,0,0,0,0,0,0,0,158,0,164,0,0,7,33,0,0,0,0,0,0,0,0,0,0,0,1,0,1,62
"כפר חב""ד",696,30,0,386,5,381,0,54,0,0,0,1,0,3,0,117,0,98,0,0,7,34,0,0,0,0,0,0,1,0,0,0,0,3,0,0,63
"כפר חב""ד",696,40,0,457,6,451,0,52,1,0,0,0,0,2,0,168,0,152,0,0,7,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29
בארותיים,697,10,0,342,9,333,73,0,0,0,0,0,0,37,1,10,0,0,140,0,16,12,12,0,0,2,0,0,0,0,0,0,2,8,0,16,4
בורגתה,698,10,0,445,4,441,128,0,0,0,0,0,1,36,3,4,1,3,156,0,20,29,18,0,0,8,0,0,0,0,0,2,0,10,0,13,9
ניר ישראל,699,10,0,353,5,348,98,1,1,0,0,0,0,21,1,7,0,0,136,0,11,19,27,1,0,7,0,0,1,0,0,0,0,5,0,12,0
חצב,700,10,0,411,4,407,71,1,1,0,0,0,0,29,0,21,0,0,163,0,12,40,1,1,0,0,0,2,0,0,0,1,1,8,0,8,47
ארבל,701,10,0,186,2,184,43,1,0,0,0,0,0,17,1,7,0,0,68,0,4,4,6,0,0,5,0,0,0,0,0,0,2,3,0,7,16
האון,702,10,0,90,0,90,30,0,0,0,0,0,0,13,0,8,0,0,16,0,3,8,7,0,0,0,0,0,0,0,0,0,0,1,0,3,1
גבעת עוז,703,10,0,242,3,239,72,0,0,0,0,0,0,5,0,5,0,0,45,0,4,7,92,0,0,1,0,0,2,0,0,0,0,4,0,1,1
נחשונים,705,10,0,208,1,207,42,0,0,0,0,0,0,12,0,1,0,0,46,0,4,0,86,0,0,2,0,0,0,0,0,0,0,7,0,7,0
גיאה,706,10,0,308,0,308,91,1,0,0,0,0,0,25,2,7,0,0,115,0,6,21,16,0,0,2,0,0,0,0,0,0,1,6,0,12,3
כפר דניאל,707,10,0,151,2,149,47,0,0,0,1,0,0,9,1,0,0,0,52,0,0,2,22,0,0,0,0,0,0,0,0,0,0,3,0,9,3
עמקה,708,10,0,278,10,268,13,9,0,0,1,0,0,13,0,62,0,1,53,0,6,65,1,0,0,0,0,0,1,0,0,1,1,0,0,6,35
תפרח,709,10,0,666,3,663,10,526,0,0,0,0,0,0,0,8,0,1,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105
בית זית,710,10,0,386,0,386,119,3,0,0,2,0,0,24,1,11,0,1,100,0,10,29,27,0,0,20,0,0,0,0,0,0,0,9,0,21,9
בית זית,710,20,0,315,0,315,109,4,0,0,3,0,0,24,1,12,0,1,70,0,10,16,32,0,0,4,0,0,0,0,0,0,0,5,0,13,11
עזריה,711,10,0,319,5,314,23,0,0,0,0,0,1,18,0,44,1,1,68,0,20,81,1,0,0,0,0,0,0,0,1,0,0,2,0,4,49
בן עמי,712,10,0,275,2,273,94,0,0,0,0,0,0,23,0,12,0,1,66,0,10,24,18,0,1,8,0,0,0,0,0,0,0,4,0,9,3
רעים,713,10,0,220,0,220,137,0,0,0,0,0,0,10,1,0,0,0,23,0,3,2,24,0,0,5,0,0,0,0,2,0,0,7,0,6,0
ארז,714,10,0,224,2,222,142,0,0,0,0,0,0,7,0,2,0,0,38,0,1,2,17,0,0,2,0,0,0,0,0,0,0,0,0,10,1
להבות חביבה,715,10,0,169,0,169,51,0,0,0,0,0,0,9,0,0,0,0,34,0,4,2,65,0,0,0,0,0,0,0,0,0,0,1,0,3,0
אייל,716,10,0,243,3,240,122,1,0,0,0,0,0,12,0,5,0,0,52,0,7,10,15,0,0,2,0,0,1,0,0,0,0,7,0,3,3
חגור,717,10,0,350,9,341,82,1,0,0,0,0,0,32,1,9,2,0,140,0,16,22,8,0,0,3,0,1,0,0,0,0,0,3,0,8,13
ירחיב,718,10,0,319,7,312,67,3,0,0,0,0,0,19,0,40,0,2,69,0,19,47,1,0,0,2,0,0,0,0,0,0,0,5,0,1,37
תל קציר,719,10,0,141,0,141,88,0,1,0,0,0,0,3,0,0,0,0,19,0,2,3,11,0,0,3,0,1,0,0,0,0,0,5,0,5,0
ניר גלים,720,10,0,292,2,290,5,3,0,0,0,0,1,8,0,215,0,0,8,0,4,24,3,0,0,4,0,1,0,0,0,0,0,0,0,3,11
שדה אילן,721,10,0,225,2,223,2,1,0,0,0,0,0,12,0,134,0,1,30,0,7,16,2,0,0,3,0,0,0,0,0,0,0,0,0,3,12
מגשימים,722,10,0,383,3,380,46,4,0,1,0,0,0,27,2,11,0,0,159,0,13,52,30,1,0,2,0,0,0,0,0,0,0,17,0,10,5
בית הגדי,723,10,0,255,3,252,9,3,0,0,0,0,0,7,0,56,0,2,10,0,10,44,2,0,0,1,0,0,0,0,0,0,0,1,0,0,107
הודיה,726,10,0,260,3,257,38,4,0,0,0,0,1,20,1,29,0,2,51,0,13,66,4,0,0,0,0,0,0,0,0,0,0,0,0,1,27
תלמי יחיאל,727,10,0,279,2,277,88,0,0,0,0,0,0,22,3,8,0,0,82,0,6,20,5,0,0,5,0,0,0,0,1,0,0,6,0,9,22
משמר השבעה,729,10,0,392,3,389,68,2,0,0,1,0,0,44,2,11,2,2,141,0,19,35,19,1,0,6,0,0,0,0,0,0,0,12,0,16,8
אליפלט,730,10,0,206,1,205,35,5,0,0,0,0,0,5,0,6,0,0,25,0,7,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
מישר,731,10,0,314,3,311,86,2,0,0,0,0,0,35,0,6,0,1,104,0,9,18,25,0,0,3,0,0,0,0,0,0,0,5,0,15,2
משמר הירדן,732,10,0,215,2,213,33,3,0,0,0,0,0,7,0,8,0,3,54,0,14,52,4,0,0,2,0,0,0,0,0,0,1,4,0,5,23
גן יאשיה,734,10,0,303,3,300,90,0,0,0,0,0,0,43,4,4,0,0,95,0,9,12,28,0,0,2,0,0,0,0,0,0,0,4,0,9,0
רמות מאיר,735,10,0,277,5,272,83,0,0,0,0,0,0,22,0,15,0,0,66,0,18,20,24,0,0,3,0,2,0,0,0,1,1,2,0,5,10
גילת,736,10,0,408,4,404,129,4,0,0,0,0,0,15,0,28,0,2,56,0,18,82,1,0,0,0,0,0,0,0,0,0,0,1,0,2,66
עולש,737,10,0,415,6,409,107,2,0,0,0,0,0,35,1,6,0,1,156,0,11,38,19,0,0,4,0,0,0,0,2,0,0,3,0,18,6
דור,738,10,0,159,3,156,51,0,0,0,0,0,0,13,0,3,0,0,59,1,6,6,6,1,0,0,0,0,0,0,1,0,0,5,0,4,0
שדה עוזיהו,739,10,0,394,1,393,38,9,0,0,0,0,0,11,0,21,0,5,77,0,12,89,3,0,2,7,0,1,0,0,0,2,0,9,0,11,96
אשתאול,740,10,0,348,7,341,52,9,0,0,0,0,0,13,3,41,0,9,33,0,13,46,11,0,0,0,0,1,0,0,0,0,0,4,0,6,100
שואבה,741,10,0,253,0,253,51,2,0,0,0,0,1,19,1,8,0,0,73,0,19,36,25,1,0,0,0,0,0,0,0,0,0,3,0,5,9
מסילת ציון,742,10,0,368,2,366,96,0,0,0,0,0,0,18,1,16,0,0,122,0,3,41,19,1,1,2,0,0,1,0,0,0,0,2,0,13,30
כפר שמואל,743,10,0,331,6,325,82,2,0,0,0,0,0,35,0,7,0,0,111,1,8,32,25,0,0,0,0,0,0,0,2,0,0,6,0,10,4
תלמי יפה,744,10,0,82,1,81,24,0,0,0,0,0,0,7,2,0,0,0,34,0,1,3,4,0,0,1,0,0,0,0,0,0,0,3,0,2,0
גמזו,745,10,0,425,0,425,8,19,0,0,0,0,0,18,0,246,1,16,9,0,6,54,2,0,0,3,0,0,0,0,0,0,0,3,0,2,38
ברכיה,746,10,0,424,4,420,10,6,0,0,0,0,0,4,0,83,0,5,25,0,14,60,0,0,0,2,0,0,1,0,0,0,0,1,0,2,207
בית שקמה,747,10,0,227,2,225,38,5,0,0,0,0,0,5,1,39,0,2,24,0,10,73,2,1,0,1,0,0,0,0,0,0,0,2,0,0,22
מסלול,748,10,0,190,4,186,61,0,0,0,1,0,0,5,2,5,0,0,61,0,4,23,3,0,0,1,0,0,1,0,0,0,0,3,0,3,13
פטיש,749,10,0,328,1,327,65,4,0,0,0,0,0,5,0,30,1,1,37,0,19,29,1,0,0,1,0,1,1,0,0,1,0,1,0,2,128
פדויים,750,10,0,161,2,159,59,10,0,0,0,0,0,2,0,15,0,2,10,0,5,15,2,0,0,0,0,0,0,0,0,0,0,1,0,3,35
בית מאיר,751,10,0,266,0,266,3,30,0,0,0,0,0,7,0,122,0,18,9,1,8,24,0,0,0,5,0,1,0,0,0,0,0,0,0,1,37
תעוז,752,10,0,237,8,229,23,3,0,0,0,0,0,15,0,40,0,2,44,0,5,31,3,1,0,2,0,0,0,0,0,0,0,0,0,8,52
ינוב,753,10,0,358,2,356,48,0,0,0,0,0,0,39,2,29,1,1,122,1,14,48,6,0,0,0,0,0,0,0,0,0,0,4,0,13,28
גורן,755,10,0,242,4,238,86,0,0,0,0,0,0,4,0,5,0,3,92,0,0,12,3,0,0,0,0,0,1,0,0,0,0,0,0,0,32
בית עזרא,756,10,0,435,2,433,126,3,0,0,0,1,0,28,1,35,0,0,125,0,12,40,7,3,0,1,0,0,1,0,0,0,1,5,0,2,42
מצליח,757,10,0,479,10,469,106,1,0,0,0,0,0,64,1,10,0,3,121,0,23,66,3,0,0,1,0,0,0,0,0,1,0,7,0,11,51
יד חנה,758,10,0,116,1,115,17,0,0,0,6,1,0,12,0,3,0,0,23,0,8,6,26,0,0,0,0,0,0,0,0,0,0,11,0,2,0
יציץ,759,10,0,265,7,258,17,2,0,0,0,0,0,12,0,29,0,2,46,0,25,59,3,0,0,0,0,0,0,0,0,0,0,2,0,4,57
בן זכאי,760,10,0,292,3,289,11,3,0,0,0,0,0,9,1,50,0,0,25,1,8,45,0,0,0,1,0,0,0,0,1,0,0,3,0,2,129
שובה,761,10,0,172,3,169,26,6,0,0,0,0,0,3,0,37,0,0,8,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
בטחה,762,10,0,324,10,314,31,4,0,0,0,0,0,0,0,64,0,1,27,0,12,72,0,0,0,1,0,0,0,0,0,0,0,0,0,1,101
שתולים,763,10,0,283,4,279,59,15,0,0,0,0,0,21,0,26,0,4,65,0,16,29,0,0,0,1,0,0,1,0,0,0,0,2,0,3,37
שתולים,763,20,0,337,5,332,62,9,0,0,0,0,2,21,3,39,0,4,91,0,20,38,5,0,0,0,0,0,0,0,0,0,0,2,0,0,36
כפר מרדכי,764,10,0,247,0,247,73,0,0,1,0,0,0,13,2,5,0,0,101,0,4,7,20,0,0,9,0,0,0,0,0,0,0,3,0,7,2
משגב דב,765,10,0,276,0,276,42,0,0,0,0,0,0,32,2,9,1,1,108,0,9,31,15,0,0,4,0,0,0,0,0,0,0,4,0,18,0
קוממיות,766,10,0,135,3,132,0,130,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
פורת,767,10,0,328,6,322,17,44,0,0,0,0,0,6,1,46,0,6,14,0,16,49,1,0,0,4,0,0,0,0,0,0,0,1,0,1,116
כרמיה,768,10,0,194,0,194,47,0,0,0,0,0,0,12,0,11,0,0,27,0,9,6,70,0,0,4,0,0,0,0,0,0,0,4,0,1,3
ניר עציון,769,10,0,291,1,290,22,1,27,0,3,0,1,8,0,153,0,1,21,0,9,11,6,0,0,6,0,0,0,0,0,1,0,3,0,13,4
מבוא ביתר,771,10,0,167,1,166,20,0,0,0,0,0,0,13,0,4,0,0,67,0,12,31,9,0,0,1,0,0,0,0,0,2,0,3,0,2,2
אמונים,772,10,0,396,1,395,68,1,0,0,0,0,0,38,0,6,0,0,147,0,18,50,8,0,1,1,0,1,0,0,0,0,0,13,0,6,37
עמיקם,773,10,0,235,2,233,33,0,0,0,1,0,0,34,0,4,0,1,95,1,12,15,15,0,0,3,0,0,0,0,0,0,0,5,0,13,1
צוריאל,774,10,0,144,1,143,38,1,0,0,1,0,0,2,0,5,0,0,42,0,3,29,2,0,0,0,0,0,0,0,1,0,0,3,0,0,16
יד נתן,775,10,0,180,2,178,47,1,0,0,0,0,0,16,1,10,0,0,61,0,6,7,8,0,0,3,0,0,0,0,2,0,0,6,0,6,4
מחסיה,776,10,0,148,1,147,11,1,0,0,0,0,0,2,0,28,0,2,23,0,9,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38
נחשון,777,10,0,243,3,240,74,1,0,0,1,0,0,4,0,0,0,0,28,0,1,2,119,0,0,0,0,0,0,0,0,1,0,5,0,4,0
תרום,778,10,0,238,2,236,4,1,0,0,0,0,0,2,0,90,0,3,25,1,6,40,0,1,2,0,0,0,0,0,0,0,0,4,0,1,56
עמינדב,779,10,0,289,0,289,60,1,0,0,0,1,0,13,1,20,0,0,70,0,20,51,20,0,0,1,0,0,2,0,0,0,0,6,0,3,20
אורה,780,10,0,362,4,358,46,3,0,0,0,0,0,22,1,43,0,1,99,0,15,50,9,0,0,6,0,0,4,0,0,0,0,8,0,3,48
אבן ספיר,783,10,0,303,2,301,63,2,0,0,1,0,0,7,0,20,0,0,94,0,21,48,7,0,0,1,0,0,0,0,0,0,0,6,0,4,27
בית נחמיה,784,10,0,298,3,295,54,2,0,0,1,0,0,27,2,9,0,1,115,2,15,26,16,0,0,2,0,0,0,0,0,0,0,6,0,6,11
אחיהוד,785,10,0,312,3,309,30,13,0,0,0,0,0,8,0,62,0,7,18,0,23,68,2,0,0,0,0,0,0,0,0,0,0,0,0,1,77
כפר זיתים,786,10,0,180,0,180,21,1,0,0,0,0,0,4,0,34,0,7,40,0,13,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23
גבעת יערים,787,10,0,478,1,477,97,4,1,1,1,0,0,25,0,65,0,4,105,0,23,66,24,0,0,7,1,0,1,0,0,0,0,6,0,13,33
זיתן,788,10,0,407,4,403,76,2,0,0,0,0,0,16,0,13,0,5,37,0,22,114,1,0,0,3,0,0,0,0,0,0,0,2,0,1,111
רנן,789,10,0,131,2,129,62,0,0,0,0,0,0,5,0,1,0,0,45,0,5,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2
משען,791,10,0,268,3,265,35,2,0,0,0,0,0,4,0,57,0,1,54,0,14,44,1,0,0,1,0,0,0,0,0,0,0,1,0,2,49
נתיב השיירה,792,10,0,232,3,229,102,0,0,0,0,0,0,15,0,6,0,0,61,0,7,16,4,0,0,1,0,0,0,0,0,0,0,3,0,4,10
גבעתי,793,10,0,298,2,296,63,1,0,0,0,0,0,14,0,11,1,1,124,0,5,28,2,0,0,1,0,1,0,0,0,1,1,6,0,7,29
עגור,794,10,0,164,1,163,18,7,0,0,0,0,0,3,0,6,0,1,36,0,17,25,0,0,0,0,0,0,0,0,0,1,0,3,0,1,45
יערה,795,10,0,259,1,258,72,1,0,0,1,0,0,0,0,5,0,1,59,0,7,18,2,0,0,0,0,0,0,0,0,1,1,4,0,1,85
צלפון,796,10,0,279,4,275,62,7,0,0,0,0,0,5,0,27,0,1,26,0,10,69,2,0,0,1,0,0,0,0,0,0,0,1,0,0,64
אחיעזר,797,10,0,596,9,587,19,16,0,0,0,0,0,3,0,206,1,4,7,0,5,58,0,0,0,0,0,2,0,0,0,0,0,0,0,1,265
יגל,798,10,0,307,2,305,59,1,0,0,0,0,0,8,0,22,0,0,53,0,13,62,0,0,0,2,0,0,0,0,0,0,0,7,0,2,76
זכריה,799,10,0,300,6,294,36,4,0,0,0,0,0,7,0,31,0,3,75,0,16,58,0,0,0,1,0,0,1,0,0,0,0,3,1,1,57
בית חנניה,800,10,0,325,2,323,80,0,0,0,0,1,0,22,1,13,0,2,128,0,7,15,29,0,0,5,0,0,1,0,0,1,0,6,0,12,0
חמד,801,10,0,285,0,285,10,29,0,0,0,0,0,13,1,142,0,2,28,0,11,23,4,0,0,5,0,0,0,0,0,0,0,2,0,3,12
"גבעת כ""ח",802,10,0,223,4,219,22,5,0,0,0,0,1,23,0,20,0,3,47,0,4,42,1,0,0,0,0,0,0,0,0,0,0,6,0,2,43
יושיביה,803,10,0,144,0,144,13,1,0,0,0,0,0,2,0,18,0,3,9,0,8,12,0,0,1,3,0,0,0,0,0,0,0,0,0,0,74
אחיסמך,804,10,0,361,1,360,63,3,0,0,0,0,0,8,0,14,0,3,23,0,19,74,0,0,0,0,0,1,0,0,0,1,0,0,0,0,151
ישעי,805,10,0,307,5,302,5,11,0,0,0,0,0,5,0,102,0,3,19,0,5,38,0,0,0,1,0,0,0,0,0,0,0,4,0,4,105
עין יהב,806,10,0,314,1,313,120,0,0,0,3,0,0,32,0,5,0,0,97,0,5,4,27,0,0,4,0,0,0,0,0,1,0,7,0,8,0
חניאל,807,10,0,373,2,371,101,1,0,0,0,0,0,33,3,4,1,0,125,0,5,37,32,0,0,1,0,0,0,0,9,0,0,3,0,14,2
ניר אליהו,808,10,0,223,2,221,105,0,0,0,0,0,1,7,0,1,0,2,54,0,3,2,33,0,0,1,0,0,0,0,0,1,0,3,0,8,0
נחם,809,10,0,233,6,227,13,6,2,0,0,0,0,5,0,68,0,1,31,0,9,27,1,0,0,1,0,0,0,1,0,1,1,3,0,0,57
עופר,810,10,0,190,2,188,48,1,0,0,0,0,0,28,0,19,0,1,31,0,9,16,11,0,0,5,0,0,1,0,1,0,1,5,0,6,5
יכיני,811,10,0,231,1,230,42,0,0,0,0,0,0,4,0,34,0,3,26,0,18,48,1,0,0,0,0,1,0,0,0,1,0,0,0,0,52
